video_title,video_id,series,video_length_minutes,video_created,views,subscribers_gained,subscriber conversion,% subscriber conversion,average_view_duration,watch_time_minutes,% average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,% clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,% clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,% clicks_per_end_screen_element_shown,estimated_monetized_playbacks,ad_impressions,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,average_percentage_viewed,,watch_time_hours
100 Humans: What Do You Love About Yourself?,CJN-D6kdvws,100 Humans,2.47,5/7/2017,"104,404",159,656.63,0.1523%,1.8,191746,74.46%,2,5,40,40.00%,5,3246,0.15,0.15%,117839,3454,2.93,2.93%,33162,37607,45,1,44931,0,39,0,0,44931,3621,3708,87,10,24,14,383,65,1300,2769,1469,74.46,,3196
100 Humans: What Does Being In Love Feel Like?,DJfj-5fwikc,100 Humans,2.9,5/14/2017,"276,698",343,806.70,0.1240%,1.9,537524,66.99%,1,9,11.11,11.11%,7,9987,0.07,0.07%,251404,8088,3.22,3.22%,108501,120637,121,2,111663,0,180,0,0,111663,6270,6440,170,55,79,24,846,146,3961,7677,3716,66.99,,8959
Couple Secretly Shares Each Side Of Their Love Story,638ZHX2CA0g,Both Sides,8.48,5/16/2017,"4,141,770","8,692",476.50,0.2099%,4.7,19306829,54.95%,26,199,13.07,13.07%,96,63405,0.15,0.15%,2577377,75228,2.92,2.92%,1682220,1861864,6975,162,1308627,0.01,2474,0,0,1308627,108409,111555,3146,943,1675,732,19268,3079,56758,107532,50774,54.95,,321780
Best Friends Openly Share Their Dreams & Disappointments | Chris & Daniel,qNyikSjStZc,Candid Confession,6.93,5/23/2017,"430,965",466,924.82,0.1081%,3.6,1533211,51.31%,2,19,10.53,10.53%,8,4179,0.19,0.19%,217093,4776,2.2,2.20%,153701,184325,725,10,144813,0.01,49,0,0,144813,8279,8502,223,64,119,55,632,197,2538,6794,4256,51.31,,25554
"Mother & Son Play Candid Game of ""Never Have I Ever"" | Shirley & AJ Rafael",AKtb6MORn8w,Candid Confession,6.98,5/23/2017,"938,892","1,217",771.48,0.1296%,4,3800665,57.97%,15,61,24.59,24.59%,41,16205,0.25,0.25%,455010,8232,1.81,1.81%,331918,386276,1525,26,332973,0.01,176,0,0,332973,17787,18217,430,150,302,152,778,353,4771,11849,7078,57.97,,63344
100 Humans: What Would You Do If You Weren't Afraid?,m7Btde7e7Hs,100 Humans,2.65,5/30/2017,"60,134",64,939.59,0.1064%,1.9,112770,70.77%,0,3,0,0.00%,1,1314,0.08,0.08%,59919,1867,3.12,3.12%,18937,21544,33,0,25677,0,25,0,0,25677,1968,2019,51,6,9,3,266,59,785,1810,1025,70.77,,1879
Husband & Wife Share Both Sides Of Their Love Story,74pgM1Ddo-I,Both Sides,6.88,6/2/2017,"759,438","1,510",502.94,0.1988%,3.7,2775367,53.09%,8,37,21.62,21.62%,27,12059,0.22,0.22%,518727,21676,4.18,4.18%,356460,395463,1049,18,239974,0.01,256,0,0,239974,24252,24757,505,96,232,136,4050,598,9534,18055,8521,53.09,,46256
Dancers Overcome Language Barrier to Choreograph Piece,O19HV8Yspr0,Between Worlds,6.28,6/20/2017,"461,718","5,174",89.24,1.1206%,3.7,1712098,59.01%,3,8,37.5,37.50%,6,1270,0.47,0.47%,182042,3101,1.7,1.70%,3222,3126,878,18,132609,0.01,2,0,0,132609,29860,30481,621,97,228,131,3140,580,12861,20544,7683,59.01,,28535
100 Humans: What Would You Regret Not Telling Someone?,mFRTVLStx90,100 Humans,4.03,6/23/2017,"129,783",271,478.90,0.2088%,2.3,293607,56.09%,32,782,4.09,4.09%,711,48149,1.48,1.48%,78677,2599,3.3,3.30%,50380,60253,93,2,52703,0,7,0,0,52703,3492,3562,70,22,33,11,271,91,1621,3699,2078,56.09,,4893
Married Couple Secretly Shares Both Sides Of Their Love Story,_HxD6VOdFRQ,Both Sides,5.6,6/26/2017,"421,773",943,447.27,0.2236%,3.1,1290154,54.62%,0,10,0,0.00%,3,5675,0.05,0.05%,312792,10728,3.43,3.43%,184943,218027,575,5,141281,0,125,0,0,141281,7151,7320,169,44,93,49,778,112,1897,5264,3367,54.62,,21503
Sisters Openly Share Long Held Secrets With Each Other | Veronicka & Marizza,Q3OKNyonzHI,Candid Confession,6.3,7/6/2017,"2,157,619","4,331",498.18,0.2007%,3.7,7901702,58.13%,277,30831,0.9,0.90%,30115,1207930,2.49,2.49%,983630,30443,3.09,3.09%,892536,1108539,3338,57,537979,0.01,1184,0,0,537979,43974,45300,1326,560,911,351,3038,879,22953,49237,26284,58.13,,131695
People Read Strangers' Biggest Secrets,_5r2ZAV5CWI,Seeking Secrets,3.85,7/15/2017,"2,806,362","12,152",230.94,0.4330%,3,8317149,76.98%,12,130,9.23,9.23%,108,31859,0.34,0.34%,3191570,238489,7.47,7.47%,878313,1050004,3588,27,609956,0,1411,0,0,609956,79550,82101,2551,507,1123,616,6947,1581,30375,60729,30354,76.98,,138619
Strangers Play Never Have I Ever on a Blind Date | Linda & Jeff,2kVgU57si4A,Candid Confession,7.27,7/18/2017,"3,624,082","6,040",600.01,0.1667%,4.1,14814794,56.26%,344,32284,1.07,1.07%,31690,2014658,1.57,1.57%,2210675,64838,2.93,2.93%,1636480,1946757,5581,70,1059091,0.01,608,0,0,1059091,42716,44133,1417,1121,1638,517,2027,1457,15460,38107,22647,56.26,,246913
