,video_title,video_id,series,video_length_minutes,video_created,views,subscribers_gained,% subscriber conversion,average_view_duration,watch_time_minutes,% average_percentage_viewed,card_clicks,cards_shown,% clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,% clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,% clicks_per_end_screen_element_shown,estimated_monetized_playbacks,ad_impressions,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,watch_time_hours,total_engagement,positive_engagement,comments_shares,like_ratio,total_engagement_to_views,positive_engagement_to_views,comments_shares_to_views,vid_count
0,100 Humans: What Do You Love About Yourself?,CJN-D6kdvws,100 Humans,2.47,2017-05-07,104404,159,0.0015229999999999998,1.8,191746,0.7445999999999999,2,5,0.4,5,3246,0.0015,117839,3454,0.029300000000000003,33162,37607,45,1,44931,0.0,39,0,0.0,44931,3621,3708,87,10,24,14,383,65,1300,2769,1469,3196,4079,4069,448,0.9972,0.0391,0.039,0.0043,1
1,100 Humans: What Does Being In Love Feel Like?,DJfj-5fwikc,100 Humans,2.9,2017-05-14,276698,343,0.00124,1.9,537524,0.6698999999999999,1,9,0.11109999999999999,7,9987,0.0007000000000000001,251404,8088,0.0322,108501,120637,121,2,111663,0.0,180,0,0.0,111663,6270,6440,170,55,79,24,846,146,3961,7677,3716,8959,7317,7262,992,0.9913,0.0264,0.0262,0.0036,1
2,Couple Secretly Shares Each Side Of Their Love Story,638ZHX2CA0g,Both Sides,8.48,2017-05-16,4141770,8692,0.002099,4.7,19306829,0.5495,26,199,0.1307,96,63405,0.0015,2577377,75228,0.0292,1682220,1861864,6975,162,1308627,0.0001,2474,0,0.0,1308627,108409,111555,3146,943,1675,732,19268,3079,56758,107532,50774,321780,131699,130756,22347,0.9914,0.0318,0.0316,0.0054,1
3,Best Friends Openly Share Their Dreams & Disappointments | Chris & Daniel,qNyikSjStZc,Candid Confession,6.93,2017-05-23,430965,466,0.001081,3.6,1533211,0.5131,2,19,0.10529999999999999,8,4179,0.0019,217093,4776,0.022000000000000002,153701,184325,725,10,144813,0.0001,49,0,0.0,144813,8279,8502,223,64,119,55,632,197,2538,6794,4256,25554,9172,9108,829,0.9923,0.0213,0.0211,0.0019,1
4,"Mother & Son Play Candid Game of ""Never Have I Ever"" | Shirley & AJ Rafael",AKtb6MORn8w,Candid Confession,6.98,2017-05-23,938892,1217,0.0012959999999999998,4.0,3800665,0.5797,15,61,0.2459,41,16205,0.0025,455010,8232,0.0181,331918,386276,1525,26,332973,0.0001,176,0,0.0,332973,17787,18217,430,150,302,152,778,353,4771,11849,7078,63344,19068,18918,1131,0.9916,0.0203,0.0201,0.0012,1
5,100 Humans: What Would You Do If You Weren't Afraid?,m7Btde7e7Hs,100 Humans,2.65,2017-05-30,60134,64,0.0010639999999999998,1.9,112770,0.7077,0,3,0.0,1,1314,0.0008,59919,1867,0.031200000000000002,18937,21544,33,0,25677,0.0,25,0,0.0,25677,1968,2019,51,6,9,3,266,59,785,1810,1025,1879,2299,2293,325,0.997,0.0382,0.0381,0.0054,1
6,Husband & Wife Share Both Sides Of Their Love Story,74pgM1Ddo-I,Both Sides,6.88,2017-06-02,759438,1510,0.001988,3.7,2775367,0.5309,8,37,0.2162,27,12059,0.0022,518727,21676,0.0418,356460,395463,1049,18,239974,0.0001,256,0,0.0,239974,24252,24757,505,96,232,136,4050,598,9534,18055,8521,46256,28996,28900,4648,0.9961,0.0382,0.0381,0.0061,1
7,Dancers Overcome Language Barrier to Choreograph Piece,O19HV8Yspr0,Between Worlds,6.28,2017-06-20,461718,5174,0.011206,3.7,1712098,0.5901,3,8,0.375,6,1270,0.004699999999999999,182042,3101,0.017,3222,3126,878,18,132609,0.0001,2,0,0.0,132609,29860,30481,621,97,228,131,3140,580,12861,20544,7683,28535,33677,33580,3720,0.9968,0.0729,0.0727,0.0081,1
8,100 Humans: What Would You Regret Not Telling Someone?,mFRTVLStx90,100 Humans,4.03,2017-06-23,129783,271,0.002088,2.3,293607,0.5609000000000001,32,782,0.0409,711,48149,0.0148,78677,2599,0.033,50380,60253,93,2,52703,0.0,7,0,0.0,52703,3492,3562,70,22,33,11,271,91,1621,3699,2078,4893,3876,3854,362,0.9937,0.0299,0.0297,0.0028,1
9,Married Couple Secretly Shares Both Sides Of Their Love Story,_HxD6VOdFRQ,Both Sides,5.6,2017-06-26,421773,943,0.002236,3.1,1290154,0.5462,0,10,0.0,3,5675,0.0005,312792,10728,0.034300000000000004,184943,218027,575,5,141281,0.0,125,0,0.0,141281,7151,7320,169,44,93,49,778,112,1897,5264,3367,21503,8085,8041,890,0.9939,0.0192,0.0191,0.0021,1
10,Sisters Openly Share Long Held Secrets With Each Other | Veronicka & Marizza,Q3OKNyonzHI,Candid Confession,6.3,2017-07-06,2157619,4331,0.002007,3.7,7901702,0.5813,277,30831,0.009000000000000001,30115,1207930,0.024900000000000002,983630,30443,0.030899999999999997,892536,1108539,3338,57,537979,0.0001,1184,0,0.0,537979,43974,45300,1326,560,911,351,3038,879,22953,49237,26284,131695,48451,47891,3917,0.9874,0.0225,0.0222,0.0018,1
11,People Read Strangers' Biggest Secrets,_5r2ZAV5CWI,Seeking Secrets,3.85,2017-07-15,2806362,12152,0.00433,3.0,8317149,0.7698,12,130,0.09230000000000001,108,31859,0.0034000000000000002,3191570,238489,0.0747,878313,1050004,3588,27,609956,0.0,1411,0,0.0,609956,79550,82101,2551,507,1123,616,6947,1581,30375,60729,30354,138619,88585,88078,8528,0.9937,0.0316,0.0314,0.003,1
12,Strangers Play Never Have I Ever on a Blind Date | Linda & Jeff,2kVgU57si4A,Candid Confession,7.27,2017-07-18,3624082,6040,0.0016669999999999999,4.1,14814794,0.5626,344,32284,0.010700000000000001,31690,2014658,0.015700000000000002,2210675,64838,0.029300000000000003,1636480,1946757,5581,70,1059091,0.0001,608,0,0.0,1059091,42716,44133,1417,1121,1638,517,2027,1457,15460,38107,22647,246913,47321,46200,3484,0.9744,0.0131,0.0127,0.001,1
13,People Read What Strangers Are Most Ashamed Of,khsORnPgigM,Seeking Secrets,3.37,2017-07-20,1871022,8905,0.004759,2.6,4843944,0.769,517,42767,0.0121,43169,1392266,0.031,2114732,88741,0.042,820644,886897,2051,16,451465,0.0,314,0,0.0,451465,44201,45480,1279,315,672,357,2044,1466,17535,37029,19494,80732,48026,47711,3510,0.9929,0.0257,0.0255,0.0019,1
14,People Read The Most Hurtful Words Strangers Have Ever Received,AQJiXSgDU8I,Seeking Secrets,3.38,2017-07-20,1898387,9092,0.004789,2.2,4218465,0.6568,534,40467,0.0132,39991,1359907,0.0294,1630594,115591,0.0709,663778,803052,1824,19,463876,0.0,144,0,0.0,463876,39757,40913,1156,217,553,336,1376,2045,11601,26019,14418,70308,43395,43178,3421,0.9946,0.0229,0.0227,0.0018,1
15,Peter & Bethany Secretly Share Both Sides Of Their Love Story,nzMZNZCmCUg,Both Sides,7.65,2017-07-25,1483482,5102,0.0034389999999999998,4.7,6917047,0.6095,588,15258,0.0385,15152,821340,0.0184,1828449,48436,0.0265,689667,811526,2528,56,467562,0.0001,401,0,0.0,467562,63149,64906,1757,170,485,315,21408,1720,18640,30863,12223,115284,86447,86277,23128,0.9973,0.0583,0.0582,0.0156,1
16,Divorced Couple Shares Each Side Of Their Love Story,UsDiywh3tsE,Both Sides,9.65,2017-08-08,1216117,4804,0.00395,5.5,6658792,0.5674,106,7275,0.0146,6999,707379,0.009899999999999999,673383,12688,0.018799999999999997,765982,858608,3729,30,377707,0.0001,547,0,0.0,377707,14978,15442,464,312,482,170,3548,850,13183,24859,11676,110980,19688,19376,4398,0.9796,0.0162,0.0159,0.0036,1
17,People Tell Their First Kiss Stories,yoosmJOYqw8,Firsts,3.47,2017-08-11,171353,270,0.001576,2.2,379000,0.638,4,19,0.21050000000000002,16,3024,0.0053,99566,1207,0.0121,43124,55256,135,2,46419,0.0,43,0,0.0,46419,2693,2785,92,30,51,21,125,111,986,3093,2107,6317,2959,2929,236,0.989,0.0173,0.0171,0.0014,1
18,Couple Passionately Shares Both Sides Of Their Love Story,66VQu9NIhZ4,Both Sides,7.32,2017-08-15,457466,857,0.0018729999999999999,3.8,1757239,0.525,63,3152,0.02,3108,225955,0.0138,263042,6848,0.026000000000000002,208922,248594,878,8,168190,0.0,339,0,0.0,168190,7217,7406,189,99,158,59,799,230,2207,5545,3338,29287,8345,8246,1029,0.9865,0.0182,0.018,0.0022,1
